DC,Connected Server,Application,Server Type,Application Owners,App Environment
LVDC-USCUST,P054RL1ESQL09.USCUST.LOCAL\DIS09,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL10.USCUST.LOCAL\DIS10,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL11.USCUST.LOCAL\DIS11,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL12.USCUST.LOCAL\DIS12,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-EMS,P054ARQARLSQL07.RLTVARC.LOCAL\DIST07,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-USCUST,P054RL1ESQL13.USCUST.LOCAL\DIS13,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1ESQL14.USCUST.LOCAL\DIS14,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ Rel B/ DISTRIBUTED
LVDC-USCUST,P054RL1HSQL00.USCUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq C)/ RelC/ EDDS
LVDC-USCUST,P054RL1HSQL01.USCUST.LOCAL\DIS01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq C)/ Rel C/ DISTRIBUTED
LVDC-USCUST,P054RL1HSQL02.USCUST.LOCAL\DIS02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq C)/ Rel C/ DISTRIBUTED
LVDC-USCUST,P054RL1HSQL03.USCUST.LOCAL\DIS03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq C)/ Rel C/ DISTRIBUTED
LVDC-USCUST,P054RL1HSQL04.USCUST.LOCAL\DIS04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq C)/ Rel C/ DISTRIBUTED
LVDC-ITAR,P054RL1KSQL01.HCUSCUST.LOCAL\DIST01,Relativity,PROD,,
LVDC-ITAR,P054RL1KSQL02.HCUSCUST.LOCAL\DIST02,Relativity,PROD,,
LVDC-Corp,P054SQLMGMT03.EPIQCORP.COM\SQLADMIN,SQL Management,PROD,IT-DBA@epiqglobal.com, 
LVDC-Corp,P054SQLMGMT3.EPIQCORP.COM\SQLADMIN,SQL Management,PROD,IT-DBA@epiqglobal.com, 
LVDC-USCUST,P054UHGRLSQL02.USCUST.LOCAL\DIST01,Relativity,PROD,RTT, 
LVDC-USCUST,P054UHGRLSQL03.USCUST.LOCAL\DIST02,Relativity,PROD,RTT, 
LVDC-USCUST,P054UHGRLSQL04.USCUST.LOCAL\DIST03,Relativity,PROD,RTT, 
LVDC-Corp,P054WFCMXSQLF03.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLP01.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLP02.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLS01.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLS02.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLS03.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFCMXSQLS04.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054WFSQLSSRS01.AMER.EPIQCORP.COM\SSISRS,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
DEDC-Por,P063REL2TSQL02.PAG.EPQPORSCHE.DE\DIS02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
DEDC-Por,P063REL2TSQL03.PAG.EPQPORSCHE.DE\DIS03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
DEDC,P063RL1YSQL01.EUCUST.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
DEDC,P063RL1YSQL02.EUCUST.LOCAL\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
UKDC,P064RL1SSQL01.CLIENT.DTIGLOBAL.COM\DIST01,Relativity,PROD,,
UKDC,P064RL1SSQL02.CLIENT.DTIGLOBAL.COM\DIST02,Relativity,PROD,,
UKDC,P064RL1SSQL03.CLIENT.DTIGLOBAL.COM\DIST03,Relativity,PROD,,
UKDC,P064RL1SSQL04.CLIENT.DTIGLOBAL.COM\DIST04,Relativity,PROD,,
UKDC,P064RL1SSQL05.CLIENT.DTIGLOBAL.COM\DIST05,Relativity,PROD,,
UKDC,P064RL1SSQL06.CLIENT.DTIGLOBAL.COM\DIST06,Relativity,PROD,,
UKDC,P064RL1VSQL01.eucust.local\DIST01,Relativity,PROD, , 
UKDC,P064RL1VSQL02.eucust.local\DIST02,Relativity,PROD, , 
UKDC,P064RL1VSQL03.eucust.local\DIST03,Relativity,PROD, , 
LVDC-Corp,P053INFSQLS02.EPIQCORP.COM\ITPROD01,vSphere,DECOM,Zac B,REQ0220036
DQS,Q061RSASQLA01.dqscust.local\ADAPTIVEAUTH,RSA,NONPROD,IT, 
LVDC-USCUST,P054ACRRPTS01.USCUST.LOCAL\AACER,AACER,PROD,AACEROperations@epiqglobal.com,Reporting
UKDC,P064RL1VSQL04.eucust.local\DIST04,Relativity,PROD, , 
UKDC,P064RL1VSQL05.eucust.local\DIST05,Relativity,PROD, , 
SGDC,P075RL1PSQL01.client.dtiglobal.com\DIS01,Relativity,DECOM,RTT, 
UKDC,P064RL1VSQL06.eucust.local\DIST06,Relativity,PROD, , 
UKDC,P064RL1VSQL07.eucust.local\DIST07,Relativity,PROD, , 
UKDC,P064RL1VSQL08.eucust.local\DIST08,Relativity,PROD, , 
TUDC,P077RL1QSQL05.client.dtiglobal.com\DIST05,Relativity,PROD, , 
TUDC,P077RL1XSQL03.client.dtiglobal.com\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel01
TUDC,P077RL1QSQL04.client.dtiglobal.com\DIST04,Relativity,PROD, , 
TUDC,P077RL1LSQL02.client.dtiglobal.com\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P077RL1XSQL05.client.dtiglobal.com\DIST05,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel01
TUDC,P077RL1ZSQL02.client.dtiglobal.com\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,P077RL1XSQL02.client.dtiglobal.com\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel01
TUDC,P077RL1XSQL04.client.dtiglobal.com\DIST04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel01
TUDC,P077RL1OSQL03.client.dtiglobal.com\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Relativity49 (DTISEA09|Seattle)/ Rel 49/ DIST04
TUDC,P077RL1XSQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel01
TUDC,P077RL1ISQL03.client.dtiglobal.com\DIST03,Relativity,PROD, , 
TUDC,P077RL1OSQL04.client.dtiglobal.com\DIST04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Relativity49 (DTISEA09|Seattle)/ Rel 49/ DIST03
TUDC,P077RL1USQL01.client.dtiglobal.com\DIST01,Relativity,PROD, , 
TUDC,P077RL1LSQL04.client.dtiglobal.com\DIST04,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P077RL1LSQL03.client.dtiglobal.com\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P077RL1LSQL07.client.dtiglobal.com\DIST07,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P077RL1LSQL08.client.dtiglobal.com\DIST08,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P077REL2FSQLV01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,P077RL1LSQL05.client.dtiglobal.com\DIST05,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P072ACRSQLS04DR.client.dtiglobal.com\AACER01,AACER,DR,AACEROperations@epiqglobal.com, 
TUDC,P077RL1ZSQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,P077RL1LSQL06.client.dtiglobal.com\DIST06,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
TUDC,P077VCTSQLS01.client.dtiglobal.com\MSSQL,Vector,PROD, , 
TUDC,P077RL2ASQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel04
TUDC,P077RL1QSQL00.client.dtiglobal.com\EDDS,Relativity,PROD, , 
TUDC,P077REL2FSQLV00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
TUDC,P077RL1XSQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel01
TUDC,P077RL1QSQL01.client.dtiglobal.com\DIST01,Relativity,PROD, , 
TUDC,TUK-H-NLSQLV-01.client.dtiglobal.com\NLSQL01,NexLP,PROD,BAEBusinessAppE@epiqglobal.com, 
TUDC,P077RL1ISQL00.client.dtiglobal.com\EDDS,Relativity,PROD, , 
TUDC-ITAR,P077RL1CSQL01.client.dtiglobal.com\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL46
TUDC,TUK-P-OPSQL-11.client.dtiglobal.com,NuixReporting,PROD,Holmes Cooper, 
TUDC,P077LAWSQLS01.CLIENT.DTIGLOBAL.COM\LAW01,LAW,PROD,BAEBusinessAppE@epiqglobal.com, 
TUDC,P077OPSSQLS01.client.dtiglobal.com\OPSQL02,NuixReporting,PROD,BAEBusinessAppE@epiqglobal.com,
LVDC-GCG,P081ECALBNS01.GCDOMAIN.LOCAL\LBNETL,CLASS,PROD-DECOM,ECA_DataServicesLegacyTeam@epiqglobal.com, 
TUDC,ADTUKFSQL600.adiclient.com,Leverage,PROD,BAEBusinessAppE@epiqglobal.com,
KADC,P082SMRLSQL01.CACUST.LOCAL\DIST01,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Alias to P060SMRELSQL02
KADC,P082SMRLSQL02.CACUST.LOCAL\DIST02,Relativity,DECOM, , 
LVDC-Corp,Q054EDWSISS01.AMER.EPIQCORP.COM,ECAR,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,Q054EDWSQLS01.AMER.EPIQCORP.COM,ECAR,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-USCUST,P054ACRSQLU01.USCUST.LOCAL\AACER01ACCC,AACER,NONPROD,AACEROperations@epiqglobal.com, 
DQS,Q061BPLSQLS01.dqscust.local\BPL,BPL,NONPROD, , 
DQS,Q061DDPSQLS01.dqscust.local\DDP,Document Delivery Portal,NONPROD,Chapter 7, 
LVDC-Corp,Q061EBSRPTB01.AMER.EPIQCORP.COM\EBSSSRS,Bankruptcy,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
LVDC-Corp,Q061EBSSQLB01.AMER.EPIQCORP.COM\EBS,Bankruptcy,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
DQS,Q061ECFSQLS01.dqscust.local\ECF,ECF (Epiq Court Filing),NONPROD,Chapter 11, 
LVDC-Corp,Q061GRCSQLS01.EPIQCORP.COM\GRCDEV,Archer/Corporate Compliance,NONPROD, , 
DQS,Q061SQLCI0103.dqscust.local\EQND,EquivioNearDupes,DECOM,BAEBusinessAppE@epiqglobal.com,"Decom confirmed by Carlos Z, Craig B:  RITM0138563"
LVDC-GCG,P054CLSSQLP01.GCDOMAIN.LOCAL,CLASS,NONPROD,DL_ECADataServicesManagement@epiqglobal.com,
LVDC-GCG,P054CLSSQLS01.GCDOMAIN.LOCAL,CLASS,PROD,DL_ECADataServicesManagement@epiqglobal.com,
TUDC,TUK-P-OPSQL-13.client.dtiglobal.com,NuixReporting,PROD,Holmes Cooper, 
LVDC-USCUST,P054ACRRPTU01.USCUST.LOCAL\AACER,AACER,NONPROD,AACEROperations@epiqglobal.com, 
DQS,Q061TNTSQLS01.dqscust.local\TNET,TNET,NONPROD, , 
LVDC-Corp,Q061WFECASQLS01.AMER.EPIQCORP.COM,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com,CHG0070727
DQS,S061BPLSQLS01.dqscust.local\BPL,BPL,NONPROD, , 
DQS,S061DDPSQLS01.dqscust.local\DDP,Document Delivery Portal,NONPROD,Chapter 7, 
DQS,S061DNFSQLS01.dqscust.local\CFP,EWF (Epiq Workflow),NONPROD,Mo Nasseri, 
LVDC-Corp,S061EBSRPTB01.AMER.EPIQCORP.COM\EBSSSRS,Bankruptcy,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
LVDC-Corp,S061EBSSQLB01.AMER.EPIQCORP.COM\EBS,Bankruptcy,DECOM,EBS-ProdDevTeam@epiqglobal.com, 
DQS,S061ECFSQLS01.dqscust.local\ECF,ECF (Epiq Court Filing),NONPROD,Chapter 11, 
DQS,S061TCMSQLS01.dqscust.local\TCMS,TCMS = Trustee Case Management System,NONPROD,Chapter 7, 
TUDC-ITAR,P077RL1CSQL02.client.dtiglobal.com\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LFDC,P078RL2SSQL01.EUCUST.LOCAL\DIST01,Relativity,PROD,,
TUDC,TUK-H-RLSQLV-21.client.dtiglobal.com\RLSQL21,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Relativity46 (DTISEA06|MTO)/ Rel 46/ EDDS
TUDC,TUK-H-RLSQLV-22.client.dtiglobal.com\RLSQL22,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Relativity46 (DTISEA06|MTO)/ Rel 46/ DISTRIBUTED
TUDC,TUK-H-RLSQLV-50.client.dtiglobal.com\RLSQL50,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Relativity32 (DTISEA03|GM)/ Rel 32/ EDDS
TUDC,TUK-H-RLSQLV-51.client.dtiglobal.com\RLSQL51,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Relativity32 (DTISEA03|GM)/ Rel 32/ DISTRIBUTED
TUDC,TUK-H-RLSQLV-52.client.dtiglobal.com\RLSQL52,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,Relativity32 (DTISEA03|GM)/ Rel 32/ DISTRIBUTED
TUDC,TUK-H-RLSQL-955.client.dtiglobal.com,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,DTIATL01 / Relativity1/ TEST instance
TUDC,PDB01.dpo.net\PDB01,DiscoveryPartner,DECOM,David De Looze,RITM0216456
TUDC,SDB03.dpo.net\SDB03,DiscoveryPartner,DECOM,David De Looze,RITM0216456
TUDC,SDB04.dpo.net\SDB04,DiscoveryPartner,DECOM,David De Looze,RITM0216456
TUDC,SEAIPROSQL01.dpo.net\SEAIPROSQL01,Ecapture,DECOM,"Ops Engineering/ Tae Yi, Jared Knutson",Send decom request to ServerOps
TUDC,TUK-P-OPSQLV-01.client.dtiglobal.com\OPSQL01,EquivioZoom,DECOM,BAEBusinessAppE@epiqglobal.com, 
TUDC,TUK-P-OPSQLV-03.client.dtiglobal.com\OPSQL03,Ecapture,DECOM,"Ops Engineering/ Tae Yi, Jared Knutson", 
TUDC,TUK-P-OPSQLV-04.client.dtiglobal.com\OPSQL04,Allegro,DECOM,Holmes Cooper, 
AUDC,P641TOMSQL01.WORDWAVE.COM.AU,TOMS,PROD,Oliver Kurz,
LVDC-USCUST,P054RL2USQL01.uscust.local\DIST01,Relativity,Prod,RTTRelativityTe@epiqglobal.com,
HKDC,P062RL1JSQL00.APCUST.LOCAL\EDDS,Relativity,Prod,RTT, 
HKDC,P062RL1JSQL01.APCUST.LOCAL\DIS01,Relativity,Prod,RTT, 
HKDC,P062RL1JSQL02.APCUST.LOCAL\DIS02,Relativity,Prod,RTT, 
TUDC,TUK-P-VNSQLV-01.client.dtiglobal.com\VNSQL01,Venio,DECOM,BAEBusinessAppE@epiqglobal.com, 
TUDC,TUK-P-VNSQLV-02.client.dtiglobal.com\VNSQL02,Venio,DECOM,BAEBusinessAppE@epiqglobal.com, 
KADC,P082NLPSQLS01.CACUST.LOCAL\NEXLP,NEXLP,PROD,BAEBusinessAppE@epiqglobal.com, 
TUDC,tuk-t-opssql-01.lab.dtiglobal.com\OPSSQL01,Ecapture,DECOM,"Ops Engineering/ Tae Yi, Jared Knutson",CHG0069029
TUDC,TUK-T-RL93D-01.LAB.DTIGLOBAL.COM\RL93D01,Relativity,DECOM,RTTRelativityTe@epiqglobal.com, 
TUDC,tuk-t-rl93qa-01.lab.dtiglobal.com\DRSQL,Relativity,DECOM,RTTRelativityTe@epiqglobal.com, 
TUDC,TUK-T-RLSQL-100.lab.dtiglobal.com\RLSQL100,Relativity,DECOM,RTTRelativityTe@epiqglobal.com, 
TUDC,TUK-T-RLSQL-101.lab.dtiglobal.com\RLSQL101,Relativity,DECOM,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,W054WFSQLCL0101.AMER.EPIQCORP.COM\DRSQL01,Claims Matrix,DR, , 
LVDC-Corp,Z054IEMAPPS01.AMER.EPIQCORP.COM,Security?,NONPROD, , 
DQS,Z061DMXSQLS01.dqscust.local\FIRENZIAPOC,Demo,DECOM, , 
DQS,Z061PRTSQLS01.dqscust.local\EDMX,DMX,DECOM,DMX-Support@epiqglobal.com,RITM0221636 
DQS,Z061PRTSQLS01.dqscust.local\EQND,EquivioNearDupes,DECOM,BAEBusinessAppE@epiqglobal.com,RITM0221636 
DQS,Z061PRTSQLS01.dqscust.local\PORTAL,EpiqService,DECOM,Craig Brass,RITM0221636 
DQS,Z061RELSQLS03.dqscust.local\EDDS,Relativity,DECOM,RTTRelativityTe@epiqglobal.com, 
DQS,Z061RELSQLS04.dqscust.local\REL01,Relativity,DECOM,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,F061ESRSQLS01.AMER.EPIQCORP.COM\EPIQDIRECTORY,EpiqService,PROD, , 
LVDC-Corp,P054VMWSVCS01.EPIQCORP.COM,vSphere,DECOM, , 
LVDC-Corp,P054VMWSVCS01.EPIQCORP.COM\VEEAMSQL2012,Veeam,Decom, , 
LVDC-Corp,P054CIGSQLS01.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,P054EBSSQLS01.AMER.EPIQCORP.COM\EBS01,Bankruptcy,PROD, , 
LVDC-Corp,P016VMWSVCS01.AMER.EPIQCORP.COM\VEEAMSQL2012,Veeam,DECOM, , 
LVDC-EMS,P054ARQBRLSQL00.RLTVARC.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-Corp,P054CCASQLS01.AMER.EPIQCORP.COM,Attendance system,PROD,ECAR Operations -India, 
LVDC-USCUST,P054CTXSQLS02.USCUST.LOCAL,Citrix,PROD, , 
LVDC-Corp,P054ECASQLS13.AMER.EPIQCORP.COM,Claims Matrix,PROD,"Josh Ball, DL-ECASoftwareSupport@epiqglobal.com", 
LVDC-Corp,P054KMSLICS02.EPIQCORP.COM\ADK,Licensing,Decom, , 
LVDC-USCUST,P054OCTSQLS01.USCUST.LOCAL,Octopus,PROD,Kevin Seals, 
HKDC,P062VMVAPPSB1.apcust.local\VDI,Vmware,Decom, , 
DEDC,P063ICTXSQLS01.EUCUST.LOCAL,Citrix,PROD, , 
UKDC,Q061ACRSQLS03,Citrix,PROD, , 
LVDC-Corp,P071CORUTIL01.AMER.EPIQCORP.COM,Litigation,PROD, , 
TUDC,P077RL1OSQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Relativity49 (DTISEA09|Seattle)/ Rel 49/ EDDS
KADC,P082INFSQLS01.CACUST.LOCAL,vSphere,PROD,ServerOps, 
AUDC,AUS-D-ALLSQL-60.WORDWAVE.COM.AU,TOMS,NONPROD,Oliver Kurz, 
AUDC,AUS-I-SQL-48.WORDWAVE.COM.AU\TOPS,TOPS,Decom,,
AUDC,AUS-I-SQL-48.WORDWAVE.COM.AU\TOPSPROD,TOPS,Decom,,
AUDC,AUS-D-SQL-88.WORDWAVE.COM.AU\DEV,TOMS,NONPROD,,
LVDC-Corp,P054ESRSQLS01.AMER.EPIQCORP.COM\EPIQDIRECTORY,EpiqService,PROD, , 
LVDC-Corp,P054II3SQLS01.AMER.EPIQCORP.COM\CIC,Interactive Intelligence (I3 Phone System),PROD,ECATelco@epiqglobal.com, 
LVDC-Corp,D016RDSWRKS04.AMER.EPIQCORP.COM,RDS,NONPROD, , 
LVDC-Corp,D054XMPSQL01.AMER.EPIQCORP.COM,XMPie,NONPROD,BAE, 
DQS,D061AFISQLS01.dqscust.local\AUTOMATEDFILING,AutomatedFiling,NONPROD, , 
LVDC-Corp,D061CRMSQLS01.EPIQCORP.COM\CRM,Dynamics,DECOM,ECARDynamicsTeam@epiqglobal.com, 
LVDC-Corp,D061EBSSSIB01.AMER.EPIQCORP.COM\EBSSSISDEV,Bankruptcy,NONPROD,EBS-ProdDevTeam@epiqglobal.com, 
LVDC-Corp,D061ECASQLS03.AMER.EPIQCORP.COM\ECA,Claims Matrix,DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
LVDC-Corp,D061ECASQLS05.AMER.EPIQCORP.COM\ECA,Claims Matrix,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
DQS,D061ECASSIS01.dqscust.local\ECASSIS,SSIS,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
DQS,D061ECASSRS01.dqscust.local\ECASSSRS,SSRS,NONPROD,DL_ECADataServicesManagement@epiqglobal.com, 
DQS,D061EDXSQLS03.dqscust.local\EDMX,DMX,NONPROD,DMX-Support@epiqglobal.com, 
DQS,d061edxsqls03.dqscust.local\EDX,DMX,NONPROD,Craig Brass, 
LVDC-Corp,D061ESRSQLS01.AMER.EPIQCORP.COM\EPIQDIRECTORY,EpiqService,NONPROD, , 
LVDC-Corp,D061NAVSQLS01.EPIQCORP.COM\NAVISION,Navision,NONPROD, , 
DQS,D061NTCSQLS01.dqscust.local\NOTICING,Chap 13,NONPROD,"Shayne Salisbury, Michelle Davis", 
DQS,D061NTCSQLS02.dqscust.local\PRINTANDMAIL,Chap 13,NONPROD,"Shayne Salisbury, Michelle Davis", 
DQS,D061NUIXSQLD01.dqscust.local,Nuix,NONPROD,Chapter 11, 
DQS,D061OCRSQLS01.dqscust.local\OCR,OCR,NONPROD, , 
DQS,D061PRTSQLS02.dqscust.local\PORTAL,Portal,NONPROD, , 
LVDC-Corp,P054SECMCSQL01.AMER.EPIQCORP.COM\MCS,SECM,PROD,Cybersecurity_All_Employees@epiqglobal.com,McAfee
DQS,D061STSSQLS01.dqscust.local\ESS,Epiq Corp Doc Storage System,NONPROD,Chapter 7, 
DQS,D061STTSQLS01.dqscust.local\STT,STT,NONPROD, , 
LVDC-Corp,D061TRNSQLS01.AMER.EPIQCORP.COM\LEARNDEVELOP,Training,DECOM, ,DECOM
AUDC,Q076TOMSQL01.WORDWAVE.COM.AU\TOMS,TOMS,NONPROD,Oliver Kurz,
TKDC,P053ACTXSQL02.APCUST.LOCAL,Citrix,PROD,,
LVDC-Corp,P054WFSQLSSRP01.AMER.EPIQCORP.COM,Claims Matrix,PROD,DL_ECADataServicesManagement@epiqglobal.com, 
TUDC,P077VCTSQLS10.CLIENT.DTIGLOBAL.COM,Vector,PROD, , 
TUDC,P077RL1LSQL00.client.dtiglobal.com\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,REL48
KADC,P082CLSSQLS01.AMER.EPIQCORP.COM,Checkbox,PROD,ECAR data services, 
LVDC-Corp,S061ESRSQLS01.AMER.EPIQCORP.COM\EPIQDIRECTORY,EpiqService,PROD, , 
LVDC-EMS,P054ARQBRLSQL01.RLTVARC.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
DEDC,P063RL1YSQL00.EUCUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
DEDC-Por,P063REL2TSQL00.PAG.EPQPORSCHE.DE\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,
KADC,P060SMRELSQL01.CACUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Stikeman
KADC,P082RL1GSQL00.CACUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,relativity.epiqsystems.ca
LFDC,P078RL2SSQL00.EUCUST.LOCAL\EDDS,Relativity,PROD,,
DEDC,P063UTLSQLS01.eucust.local\UTIL01,Octopus,DECOM,Product Developement, 
UKDC,P064ARQSQL01.eucust.local,Relativity,DECOM,RTTRelativityTe@epiqglobal.com,TASK0372748
LVDC-EMS,P054ARQBRLSQL02.RLTVARC.LOCAL\DIST02,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQBRLSQL03.RLTVARC.LOCAL\DIST03,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-EMS,P054ARQBRLSQL04.RLTVARC.LOCAL\DIST04,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
LVDC-ITAR,P054RL1KSQL00.HCUSCUST.LOCAL\EDDS,Relativity,PROD,,
LVDC-USCUST,P054RL2USQL02.uscust.local\DIST02,Relativity,Prod,RTTRelativityTe@epiqglobal.com,
LVDC-EMS,P054ARQBRLSQL05.RLTVARC.LOCAL\DIST05,Relativity,PROD,RTTRelativityTe@epiqglobal.com, 
DQS,E061EDXSQLS03.dqscust.local\EDMX,DMX,NONPROD, , 
DQS,E061EQNSQLS01.dqscust.local\EQND (RITM0184179),EquivioNearDupes,NONPROD, , 
LVDC-EMS,P054ARQDRLSQL01.EMSCUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ-D
DQS,E061PRTSQLS02.dqscust.local\PORTAL,Portal,NONPROD, , 
LVDC-USCUST,P054RL1BSQL00.USCUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq A)/ Rel A/ EDDS
HKDC,P062GOASQLS01.APCUST.LOCAL\GOANYWHERE,Goanywhere,DECOM,BAEBusinessAppE@epiqglobal.com,RITM0222441
DQS,F061AFISQLS01.dqscust.local\AUTOMATEDFILING,AutomatedFiling,NONPROD, , 
LVDC-USCUST,P054RL1ESQL00.USCUST.LOCAL\EDDS,Relativity,PROD,RTTRelativityTe@epiqglobal.com,Rel A (Epiq B)/ RelB/ EDDS
LVDC-EMS,P054ARQDRLSQL02.EMSCUST.LOCAL\DIST01,Relativity,PROD,RTTRelativityTe@epiqglobal.com,ARQ-D
DQS,F061ECASQLA02.dqscust.local\NAVISION,Navision,DECOM,DL_ECADataServicesManagement@epiqglobal.com,"REQ0187256,CHG0065165"
DQS,F061ECPSQLS02.dqscust.local\ECAPTURE,Ecapture,NONPROD-DECOM,DL_ECADataServicesManagement@epiqglobal.com, 
